Algorithm,Time Taken,Best Tour,Best Cost,Num Nodes,Edge Percentage,Num Edges,Adjacency List
tsp_brute_force,0.0,"[0, 3, 2, 1, 0]",292,4,9.0,12,"[(0, 1, 64), (0, 2, 75), (0, 3, 100), (1, 0, 64), (1, 2, 66), (1, 3, 83), (2, 0, 90), (2, 1, 66), (2, 3, 92), (3, 0, 100), (3, 1, 83), (3, 2, 62)]"
tsp_brute_force,0.0,"[0, 1, 2, 3, 0]",74,4,9.0,12,"[(0, 1, 34), (0, 2, 24), (0, 3, 87), (1, 0, 34), (1, 2, 16), (1, 3, 54), (2, 0, 24), (2, 1, 16), (2, 3, 6), (3, 0, 18), (3, 1, 54), (3, 2, 6)]"
tsp_brute_force,0.0,,inf,3,2.6666666666666665,4,"[(0, 1, 14), (1, 0, 14), (1, 2, 99), (2, 1, 99)]"
tsp_brute_force,0.0,,inf,3,2.6666666666666665,4,"[(0, 2, 54), (1, 2, 6), (2, 0, 54), (2, 1, 6)]"
tsp_brute_force,0.0,"[0, 1, 2, 0]",152,3,4.0,6,"[(0, 1, 10), (0, 2, 49), (1, 0, 20), (1, 2, 93), (2, 0, 49), (2, 1, 93)]"
tsp_brute_force,0.0,,inf,3,2.6666666666666665,4,"[(0, 2, 67), (1, 2, 97), (2, 0, 67), (2, 1, 3)]"
tsp_brute_force,0.0,,inf,3,2.6666666666666665,4,"[(0, 2, 29), (1, 2, 36), (2, 0, 29), (2, 1, 36)]"
tsp_brute_force,0.0,"[0, 1, 2, 0]",161,3,4.0,6,"[(0, 1, 14), (0, 2, 75), (1, 0, 14), (1, 2, 88), (2, 0, 59), (2, 1, 88)]"
tsp_brute_force,0.0,,inf,3,2.6666666666666665,4,"[(0, 1, 12), (1, 2, 13), (1, 0, 12), (2, 1, 13)]"
tsp_brute_force,0.0,"[0, 1, 2, 0]",55,3,4.0,6,"[(0, 2, 17), (0, 1, 10), (1, 2, 28), (1, 0, 10), (2, 1, 28), (2, 0, 17)]"
